Date,CPI-common
Jan-19,1.8
Feb-19,2
Mar-19,2
Apr-19,2
May-19,2.1
Jun-19,2.1
Jul-19,2.2
Aug-19,2.1
Sep-19,2.4
Oct-19,2.4
Nov-19,2.5
Dec-19,2.4
Jan-20,2.3
Feb-20,2
Mar-20,1.7
Apr-20,1.7
May-20,1.4
Jun-20,1.5
Jul-20,1.3
Aug-20,1.5
Sep-20,1.4
Oct-20,1.6
Nov-20,1.7
Dec-20,1.6
Jan-21,1.6
Feb-21,1.5
Mar-21,2
Apr-21,2.1
May-21,2.6
Jun-21,2.6
Jul-21,2.7
Aug-21,2.9
Sep-21,3.1
Oct-21,3
Nov-21,3.2
Dec-21,3.3
Jan-22,3.7
Feb-22,4.1
Mar-22,4.6
Apr-22,5
May-22,5.5
Jun-22,5.6
Jul-22,5.9
Aug-22,5.9
Sep-22,5.9
Oct-22,5.9
Nov-22,6.2
Dec-22,6.1
Jan-23,6.2
Feb-23,6
Mar-23,5.8
Apr-23,5.6
May-23,5.2
Jun-23,5.1
Jul-23,4.8
Aug-23,4.8
Sep-23,4.4
Oct-23,4.2
